t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
50,57,59,3,57,59,3,3,131,131,131,131,53,7,7,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,14,18,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,18,105,6,9,63,42,25,117,3,3,3,19,130,130,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
185,50,50,44,3,25,50,50,44,3,25,108,108,50,50,44,3,25,50,50,44,3,25,117,3,8,35,7,5,3,7,7,90,7,7,7,7,14,18,14,18,14,18,90,90,7,90,7,90,121,3,19,19,113,107,109,121,3,19,3,3,185,19,135,14,14,130,130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,109,3,3,3,3,19,3,3,3,105,57,59,3,3,3,3,130
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,65,9,50,42,25,63,25,8,8,22,17,3,50,42,25,50,42,25,50,42,25,65,8,8,50,42,25,8,75,75,8,22,17,3,40,18,12,171,7,19,7,40,18,94,15,107,130
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
18,18,18,18,18,40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,120,95,50,204,25,50,204,25,50,204,25,50,204,25,50,204,25,50,204,25,50,204,25,9,50,42,25,8,14,80,80,7,19,7,40,18,94,15,107,14,18,7,7,7,15,15,3,3,15,7,15,15,40,18,75,40,18,18,18,18,7,7,112,132,132,19,19,50,44,25,26,2,26,2,26,76,3,2,26,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,40,40,40,40,40,40,40,43,43,43,29,14,14,105,65,65,3,57,59,3,57,59,3,40,18,18,125,8,113,107,3,3,9,108,2,3,3,117,143,130,130,3,3,3,3,3,3,3,3,105,57,59,3,3,3,3,130
63,42,25,63,42,25,2,39,45,41,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25,2,63,42,25,63,42,25,63,42,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,14,18,18,14,18,18,18,18,7,14,18,18,14,18,14,18,14,18,14,14,40,18,14,18,14,18,14,14,49,50,44,25,50,44,25,27,32,25,3,3,40,18,14,14,122,40,18,43,43,43,12,130
25,25,27,27,48,48,27,27,27,25,32,32,27,32,32,32,32,25,27,27,25,57,3,27,25,27,25,40,18,18,40,18,27,18,18,18,57,3,27,25,27,32,25,25,57,3,27,25,27,32,25,25,86,3,7,86,3,86,3,86,3,86,3,86,3,86,3,86,3,86,3,44,40,29,40,18,29,29,40,18,29,160,160,18,86,3,86,3,144,105,55,3,55,55,55,55,55,55,55,55
28,3,50,50,25,28,3,21,21,21,21,57,59,3,14,18,18,18,18,18,18,18,18,18,18,18,18,105,3,33,173,19,19,2,135,105,130,130,3,3,3,3,3,3,3,105,18,3,109,3,3,18,25,19,19,3,3,3,3,3,109,3,109,3,25,3,3,7,3,109,3,3,3,3,19,3,3,19,19,162,109,3,22,179,3,24,3,3,109,3,18,105,57,59,3,3,3,3,3,130
